iter	Passed	Remaining
0	114	114647
1	116	58134
2	118	39300
3	119	29772
4	121	24125
5	122	20323
6	124	17595
7	125	15600
8	127	14045
9	129	12776
10	130	11717
11	131	10836
12	132	10093
13	134	9447
14	135	8885
15	136	8390
16	137	7952
17	138	7555
18	139	7226
19	140	6904
20	141	6611
21	142	6340
22	143	6099
23	144	5873
24	145	5671
25	146	5482
26	147	5308
27	148	5146
28	149	4994
29	150	4853
30	151	4724
31	152	4602
32	152	4482
33	153	4370
34	154	4263
35	155	4167
36	156	4076
37	157	3988
38	158	3906
39	159	3825
40	160	3751
41	161	3677
42	162	3610
43	163	3544
44	164	3480
45	164	3418
46	166	3372
47	167	3317
48	168	3267
49	169	3217
50	170	3169
51	171	3121
52	172	3075
53	172	3030
54	174	2990
55	174	2949
56	175	2911
57	176	2871
58	177	2835
59	178	2799
60	179	2764
61	180	2730
62	181	2699
63	182	2667
64	183	2638
65	184	2607
66	185	2582
67	186	2555
68	187	2528
69	188	2502
70	189	2478
71	190	2453
72	191	2428
73	192	2406
74	193	2382
75	194	2359
76	194	2336
77	195	2314
78	196	2293
79	197	2272
80	198	2252
81	199	2235
82	200	2210
83	201	2191
84	202	2174
85	202	2156
86	203	2137
87	204	2120
88	205	2105
89	206	2088
90	207	2071
91	208	2056
92	209	2040
93	210	2024
94	210	2009
95	211	1994
96	212	1980
97	213	1965
98	214	1952
99	215	1939
100	216	1927
101	217	1914
102	218	1901
103	219	1888
104	220	1877
105	221	1863
106	221	1851
107	222	1839
108	223	1827
109	224	1815
110	225	1804
111	226	1793
112	226	1781
113	227	1771
114	228	1761
115	229	1752
116	230	1740
117	231	1730
118	232	1720
119	233	1710
120	234	1701
121	234	1690
122	235	1681
123	236	1671
124	237	1662
125	238	1652
126	238	1642
127	239	1633
128	240	1624
129	241	1616
130	242	1608
131	243	1601
132	244	1593
133	245	1586
134	246	1578
135	247	1570
136	248	1562
137	249	1555
138	249	1548
139	250	1540
140	251	1532
141	252	1524
142	253	1516
143	253	1509
144	254	1502
145	255	1495
146	256	1488
147	257	1481
148	258	1475
149	259	1470
150	260	1463
151	261	1457
152	262	1451
153	262	1444
154	263	1438
155	264	1431
156	265	1425
157	266	1418
158	267	1412
159	268	1407
160	268	1399
161	269	1392
162	270	1386
163	270	1381
164	271	1376
165	272	1370
166	273	1365
167	274	1360
168	275	1355
169	276	1349
170	277	1344
171	278	1339
172	279	1333
173	279	1328
174	280	1323
175	281	1318
176	282	1313
177	283	1308
178	284	1303
179	284	1297
180	285	1293
181	286	1289
182	287	1284
183	288	1279
184	289	1276
185	290	1271
186	291	1267
187	292	1262
188	293	1257
189	294	1253
190	294	1249
191	295	1244
192	296	1240
193	297	1235
194	298	1231
195	299	1227
196	300	1223
197	300	1218
198	301	1214
199	302	1210
200	303	1205
201	304	1201
202	305	1197
203	305	1193
204	306	1189
205	307	1186
206	308	1182
207	309	1178
208	310	1174
209	311	1170
210	312	1166
211	312	1162
212	313	1159
213	314	1156
214	315	1152
215	316	1148
216	317	1145
217	318	1141
218	319	1139
219	320	1136
220	321	1132
221	322	1129
222	323	1126
223	324	1122
224	324	1119
225	325	1115
226	326	1112
227	327	1108
228	328	1105
229	329	1102
230	330	1098
231	330	1095
232	331	1092
233	332	1089
234	333	1086
235	334	1083
236	335	1080
237	336	1076
238	337	1073
239	338	1070
240	338	1067
241	339	1064
242	340	1061
243	341	1058
244	342	1055
245	343	1052
246	344	1049
247	344	1046
248	345	1042
249	346	1040
250	347	1037
251	348	1034
252	349	1031
253	350	1029
254	351	1027
255	352	1024
256	353	1021
257	354	1019
258	355	1016
259	356	1013
260	356	1010
261	357	1008
262	358	1006
263	359	1003
264	360	1000
265	361	997
266	362	994
267	363	991
268	364	989
269	365	987
270	366	984
271	367	982
272	367	979
273	368	977
274	369	974
275	370	972
276	371	970
277	372	967
278	373	965
279	374	962
280	375	960
281	376	957
282	376	954
283	377	952
284	378	950
285	379	947
286	380	945
287	381	943
288	382	941
289	383	938
290	384	936
291	385	933
292	385	931
293	386	928
294	387	926
295	388	924
296	389	922
297	390	920
298	391	918
299	392	916
300	393	913
301	394	911
302	395	910
303	396	908
304	397	906
305	398	904
306	399	902
307	400	900
308	401	898
309	402	895
310	403	893
311	404	891
312	405	889
313	405	886
314	406	884
315	407	882
316	409	881
317	410	880
318	411	878
319	412	876
320	413	874
321	414	872
322	415	870
323	416	868
